Nr,Code,Municipality,County,Population,Total area (km²),Land area (km²),Inland water area (km²),Seawater area (km²),Density (people/km²)
1,1440,Ale Municipality,Västra Götaland County,27947,331.55,316.51,15.04,0,88.3
2,1489,Alingsås Municipality,Västra Götaland County,38553,551.17,472.03,79.14,0,81.67
3,764,Alvesta Municipality,Kronoberg County,19219,1074.26,974.19,100.07,0,19.73
4,604,Aneby Municipality,Jönköping County,6360,553.89,517.76,36.13,0,12.28
5,1984,Arboga Municipality,Västmanland County,13437,419.37,325.43,6,0,41.29
6,2506,Arjeplog Municipality,Norrbotten County,2996,14494.09,12556.77,1937.32,0,0.24
7,2505,Arvidsjaur Municipality,Norrbotten County,6454,6126.32,5655.97,470.35,0,1.14
8,1784,Arvika Municipality,Värmland County,25835,1956.13,1649.06,307.07,0,15.67
9,1882,Askersund Municipality,Örebro County,10993,1019.74,815.99,60.88,0,13.47
10,2084,Avesta Municipality,Dalarna County,21549,669.08,613.25,55.83,0,35.14
11,1460,Bengtsfors Municipality,Västra Götaland County,9532,1059.19,882.93,176.26,0,10.8
12,2326,Berg Municipality,Jämtland County,7180,6145.45,5711.34,434.11,0,1.26
13,2403,Bjurholm Municipality,Västerbotten County,2442,1363.77,1306.75,57.02,0,1.87
14,1260,Bjuv Municipality,Skåne County,14813,115.75,115.28,0.47,0,128.5
15,2582,Boden Municipality,Norrbotten County,27762,4285.13,4007.86,277.27,0,6.93
16,1443,Bollebygd Municipality,Västra Götaland County,8569,282.39,263.19,19.2,0,32.56
17,2183,Bollnäs Municipality,Gävleborg County,26130,1976.7,1814.35,162.35,0,14.4
18,885,Borgholm Municipality,Kalmar County,10634,3654.83,678.65,3.46,2972.72,15.67
19,2081,Borlänge Municipality,Dalarna County,49825,635.81,583.87,51.94,0,85.34
20,1490,Borås Municipality,Västra Götaland County,105748,967.54,909.9,57.64,0,116.22
21,127,Botkyrka Municipality,Stockholm County,87386,222.32,194.17,10.06,12.75,450.05
22,560,Boxholm Municipality,Östergötland County,5256,603.87,525.77,78.1,0,10
23,1272,Bromölla Municipality,Skåne County,12331,197.14,162.5,22.77,11.87,75.88
24,2305,Bräcke Municipality,Jämtland County,6630,3783.7,3408.2,375.5,0,1.95
25,1231,Burlöv Municipality,Skåne County,17158,19.2,18.9,0.12,0.18,907.83
26,1278,Båstad Municipality,Skåne County,14245,881.9,209.79,0.61,671.5,67.9
27,1438,Dals-Ed Municipality,Västra Götaland County,4758,825.43,724.34,101.09,0,6.57
28,162,Danderyd Municipality,Stockholm County,32074,32.67,26.4,0.15,6.12,1214.92
29,1862,Degerfors Municipality,Örebro County,9490,433.68,383.98,49.7,0,24.71
30,2425,Dorotea Municipality,Västerbotten County,2769,2939.9,2764.92,174.98,0,1
31,1730,Eda Municipality,Värmland County,8443,894.92,820.18,74.74,0,10.29
32,125,Ekerö Municipality,Stockholm County,26282,383.61,217.68,0.61,0,120.74
33,686,Eksjö Municipality,Jönköping County,16454,873.29,799.48,73.81,0,20.58
34,862,Emmaboda Municipality,Kalmar County,8969,718.65,689.7,28.95,0,13
35,381,Enköping Municipality,Uppsala County,40542,1323.82,1178.5,4.63,0,34.4
36,484,Eskilstuna Municipality,Södermanland County,99745,1250.49,1099.87,18.59,0,90.69
37,1285,Eslöv Municipality,Skåne County,31793,424.68,419.06,5.62,0,75.87
38,1445,Essunga Municipality,Västra Götaland County,5529,235.71,234.61,1.1,0,23.57
39,1982,Fagersta Municipality,Västmanland County,12831,310.41,269.04,41.37,0,47.69
40,1382,Falkenberg Municipality,Halland County,41646,1825.72,1108.89,47.27,669.56,37.56
41,1499,Falköping Municipality,Västra Götaland County,31923,1065.78,1044.98,20.8,0,30.55
42,2080,Falun Municipality,Dalarna County,56763,2275.17,2040.13,235.04,0,27.82
43,1782,Filipstad Municipality,Värmland County,10524,1711.71,1534.03,177.68,0,6.86
44,562,Finspång Municipality,Östergötland County,20890,1215.05,1055.28,159.77,0,19.8
45,482,Flen Municipality,Södermanland County,16068,826.04,718.83,107.21,0,22.35
46,1763,Forshaga Municipality,Värmland County,11267,397.29,348.18,49.11,0,32.36
47,1439,Färgelanda Municipality,Västra Götaland County,6545,618.33,588.98,29.35,0,11.11
48,2026,Gagnef Municipality,Dalarna County,10052,812.32,767.15,45.17,0,13.1
49,662,Gislaved Municipality,Jönköping County,28750,1220.72,1137.08,83.64,0,25.28
50,461,Gnesta Municipality,Södermanland County,10450,538.14,461.24,76.9,0,22.66
51,617,Gnosjö Municipality,Jönköping County,9390,450.05,420.58,29.47,0,22.33
52,980,Gotland Municipality,Gotland County,57235,15241.07,3134.05,31.49,12075.53,18.26
53,1764,Grums Municipality,Värmland County,8918,478.82,386.38,47.87,0,23.08
54,1444,Grästorp Municipality,Västra Götaland County,5613,280.66,264.68,1.16,0,21.21
55,1447,Gullspång Municipality,Västra Götaland County,5194,554.95,312.89,69.42,0,16.6
56,2523,Gällivare Municipality,Norrbotten County,18380,16818.22,15705.15,1113.07,0,1.17
57,2180,Gävle Municipality,Gävleborg County,96969,3199.84,1613.37,169.04,1417.43,60.1
58,1480,Göteborg Municipality,Västra Götaland County,532247,1025.37,447.76,15.66,561.95,1188.69
59,1471,Götene Municipality,Västra Götaland County,13054,620.74,404.54,0.94,0,32.27
60,643,Habo Municipality,Jönköping County,10969,462.24,328.52,6.23,0,33.39
61,1783,Hagfors Municipality,Värmland County,12117,2000.15,1824.17,175.98,0,6.64
62,1861,Hallsberg Municipality,Örebro County,15265,670.22,636.71,33.51,0,23.97
63,1961,Hallstahammar Municipality,Västmanland County,15473,181.26,170.7,1.61,0,90.64
64,1380,Halmstad Municipality,Halland County,93886,1699.89,1014.13,16.73,669.03,92.58
65,1761,Hammarö Municipality,Värmland County,15139,464.16,39.15,1.55,0,386.69
66,136,Haninge Municipality,Stockholm County,80615,2160.87,458.07,5.99,1696.81,175.99
67,2583,Haparanda Municipality,Norrbotten County,9890,1868.27,922.76,38.74,906.77,10.72
68,331,Heby Municipality,Uppsala County,13451,1225.6,1166.81,58.79,0,11.53
69,2083,Hedemora Municipality,Dalarna County,15004,928.77,835.1,93.67,0,17.97
70,1283,Helsingborg Municipality,Skåne County,132706,423.97,344.01,1.35,78.61,385.76
71,1466,Herrljunga Municipality,Västra Götaland County,9239,509.54,497.55,11.99,0,18.57
72,1497,Hjo Municipality,Västra Götaland County,8833,584.47,297.04,5.09,0,29.74
73,2104,Hofors Municipality,Gävleborg County,9527,445.71,409.94,35.77,0,23.24
74,126,Huddinge Municipality,Stockholm County,102256,140.63,131.01,8.13,0,780.52
75,2184,Hudiksvall Municipality,Gävleborg County,36857,4516.62,2488.89,255.69,1772.04,14.81
76,860,Hultsfred Municipality,Kalmar County,13627,1187.01,1121.52,65.49,0,12.15
77,1315,Hylte Municipality,Halland County,9993,1046.59,946.08,100.51,0,10.56
78,305,Håbo Municipality,Uppsala County,19940,186.47,143.75,0.37,0,138.71
79,1863,Hällefors Municipality,Örebro County,6981,1151.25,984.95,166.3,0,7.09
80,2361,Härjedalen Municipality,Jämtland County,10252,11859.62,11286.1,573.52,0,0.91
81,2280,Härnösand Municipality,Västernorrland County,24468,1938.58,1058.36,42.57,837.65,23.12
